00000001	0.00000000	[23604] #; time; x; y; z; tx; ty; tz; ax; ay	
00000002	0.04434580	[23604] -5067.2768554688; 4121.845703125; 20.158290863037; 0; 0; 0; -0.1023448307579; -0.003086052896903	
00000003	16.17744255	[23604] -5021.6435546875; 4061.8981933594; 18.186376571655; -2757.3908691406; 4410.5483398438; 464.27334594727; 0.0046307437503529; -0.030516638939979	
00000004	16.19340706	[23604] -5021.1025390625; 4061.9501953125; 18.291307449341; -2758.3916015625; 4413.3862304688; 464.30038452148; 0.0032997712093518; -0.031878235578669	
00000005	16.20941734	[23604] -5020.4228515625; 4062.0249023438; 18.425611495972; -2759.4169921875; 4416.2138671875; 464.31954956055; 0.0018854974727274; -0.033480384373774	
00000006	16.22540092	[23604] -5019.6059570313; 4062.1220703125; 18.58941078186; -2760.4897460938; 4419.0263671875; 464.34564208984; 0.00035170434721324; -0.035261489555646	
00000007	16.24149513	[23604] -5018.6538085938; 4062.2416992188; 18.782890319824; -2761.5922851563; 4421.8276367188; 464.36108398438; -0.0013332140395139; -0.03716416260438	
00000008	16.25738907	[23604] -5017.56640625; 4062.3835449219; 19.00629234314; -2762.7407226563; 4424.6103515625; 464.40197753906; -0.0031917337667721; -0.039092968612035	
00000009	16.27344704	[23604] -5016.3461914063; 4062.5476074219; 19.259899139404; -2763.9240722656; 4427.3798828125; 464.42358398438; -0.0052408985711274; -0.040977922647519	
00000010	16.28945351	[23604] -5014.9936523438; 4062.7333984375; 19.544017791748; -2765.1291503906; 4430.13671875; 464.44912719727; -0.007484706444288; -0.042711252238719	
00000011	16.30537415	[23604] -5013.5102539063; 4062.9406738281; 19.858957290649; -2766.3798828125; 4432.8735351563; 464.47702026367; -0.0099137889186525; -0.044186823296026	
00000012	16.32137489	[23604] -5011.8969726563; 4063.1691894531; 20.204996109009; -2767.6579589844; 4435.5932617188; 464.49481201172; -0.012506278789473; -0.04530544820583	
00000013	16.33746147	[23604] -5010.1557617188; 4063.4182128906; 20.582359313965; -2768.9794921875; 4438.3051757813; 464.51843261719; -0.015230778043697; -0.045958047810749	
00000014	16.35341835	[23604] -5008.287109375; 4063.6875; 20.991170883179; -2770.3332519531; 4440.9975585938; 464.54925537109; -0.018029946414438; -0.046055301863355	
00000015	16.36941528	[23604] -5006.2924804688; 4063.9765625; 21.43141746521; -2771.71484375; 4443.6596679688; 464.57150268555; -0.020833995380594; -0.045534375051703	
00000016	16.38552475	[23604] -5004.1723632813; 4064.2846679688; 21.902914047241; -2773.1420898438; 4446.3173828125; 464.60385131836; -0.023579490555784; -0.044344091543498	
00000017	16.40193939	[23604] -5001.9282226563; 4064.6110839844; 22.405267715454; -2774.5922851563; 4448.95703125; 464.62088012695; -0.026176037374125; -0.042490127214977	
00000018	16.41802788	[23604] -4999.560546875; 4064.9555664063; 22.937854766846; -2776.083984375; 4451.5639648438; 464.65325927734; -0.028534396801654; -0.039991870928342	
00000019	16.43743706	[23604] -4997.0708007813; 4065.3173828125; 23.499813079834; -2777.6115722656; 4454.1704101563; 464.67477416992; -0.030588880774795; -0.036939765273999	
00000020	16.44994164	[23604] -4994.458984375; 4065.6962890625; 24.090047836304; -2779.1506347656; 4456.7475585938; 464.69259643555; -0.032258633717233; -0.033454564780836	
00000021	16.46549988	[23604] -4991.7265625; 4066.0920410156; 24.707258224487; -2780.7473144531; 4459.2998046875; 464.71957397461; -0.033502159336663; -0.029688039752587	
00000022	16.48143959	[23604] -4988.8740234375; 4066.5046386719; 25.349998474121; -2782.3635253906; 4461.8408203125; 464.74612426758; -0.034302600215163; -0.025837424262631	
00000023	16.49738884	[23604] -4985.9018554688; 4066.9340820313; 26.016752243042; -2784.01953125; 4464.3559570313; 464.76504516602; -0.034666029604234; -0.022107973498417	
00000024	16.51359558	[23604] -4982.8115234375; 4067.3806152344; 26.706016540527; -2785.703125; 4466.8486328125; 464.79925537109; -0.03463753407073; -0.018690764721956	
00000025	16.52936554	[23604] -4979.6030273438; 4067.8447265625; 27.416410446167; -2787.4245605469; 4469.3271484375; 464.82556152344; -0.034297030806201; -0.015770198552604	
00000026	16.54556084	[23604] -4976.2778320313; 4068.3269042969; 28.146774291992; -2789.1684570313; 4471.7680664063; 464.84466552734; -0.033734912792652; -0.013477488810249	
00000027	16.56143570	[23604] -4972.8364257813; 4068.8283691406; 28.896255493164; -2790.9401855469; 4474.2099609375; 464.85525512695; -0.033085639950118; -0.011882132684153	
00000028	16.57745934	[23604] -4969.2802734375; 4069.3493652344; 29.664360046387; -2792.7568359375; 4476.6127929688; 464.88360595703; -0.032454332642163; -0.010967510903898	
00000029	16.59340858	[23604] -4965.6108398438; 4069.890625; 30.450975418091; -2794.5893554688; 4478.9897460938; 464.90640258789; -0.031954617156858; -0.010669027191726	
00000030	16.60943985	[23604] -4961.8286132813; 4070.453125; 31.256340026855; -2796.4731445313; 4481.3505859375; 464.93817138672; -0.031678637676674; -0.010833941267542	
00000031	16.62541199	[23604] -4957.9345703125; 4071.037109375; 32.080955505371; -2798.3693847656; 4483.6821289063; 464.96566772461; -0.03166689329842; -0.011279653491264	
00000032	16.64150620	[23604] -4953.9311523438; 4071.642578125; 32.925487518311; -2800.3046875; 4485.9897460938; 464.98825073242; -0.031929816006912; -0.011791539683286	
00000033	16.65751266	[23604] -4949.818359375; 4072.2700195313; 33.790599822998; -2802.2600097656; 4488.2778320313; 465.00674438477; -0.03243109590001; -0.01216729152517	
